WP5 Country,country,Regional indicator,Ladder score,Standard error of ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Dystopia + residual,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Trust in national government,Democratic Quality 2012,Delivery Quality 2012,"Most people can be trusted, Gallup, mostly 2009-10","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
184 Switzerland,Switzerland,Western Europe,7.5869998932,0.034111578,10.8572826385,0.9531363249,72.7368621826,0.9477239847,0.0806921944,0.3014021218,2.0989763737,2.5173830986,1.396505475,1.3495050669,0.9414322972,0.6655732989,0.2967752814,0.4197767973,0.758918643,1.5345878601,1.8764284849,0.437881887,,0.265255481,0.3784790933,,0.518936038,
130 Iceland,Iceland,Western Europe,7.5609998703,0.0488361306,10.5685338974,0.9752403498,72.9685592651,0.9128113985,0.2578948438,0.7418340445,2.0989763737,2.7020130157,1.3023235798,1.4022310972,0.9478443265,0.6287720799,0.4362967312,0.1414513737,0.322589606,1.337266326,1.5216201544,,,,,,,
025 Denmark,Denmark,Western Europe,7.5269999504,0.033283256,10.6395206451,0.9577795267,70.3233947754,0.9323652983,0.1373514384,0.200448066,2.0989763737,2.4920415878,1.3254776001,1.360580802,0.8746413589,0.6493837237,0.3413862288,0.4835734665,0.4654527009,1.2996228933,2.000510931,0.6675152779,,,,,,
160 Norway,Norway,Western Europe,7.521999836,0.0388016663,11.048871994,0.9453594685,70.7052536011,0.9516690969,0.1444675773,0.3880285919,2.0989763737,2.4653115273,1.4589966536,1.3309545517,0.885209024,0.6697317958,0.3469891548,0.3650342524,0.6883961558,1.5316183567,1.9039245844,,,,0.6477373838,,0.7373046875,
046 Canada,Canada,North America and ANZ,7.4270000458,0.0355260335,10.6420164108,0.9418604374,71.4431915283,0.9167916179,0.2855980694,0.4441437423,2.0989763737,2.4517555237,1.3262915611,1.3226081133,0.9056308866,0.6329675913,0.4581090212,0.3295730054,0.4922108948,1.2683138847,1.7805492878,0.4508440793,,,,0.3854691982,0.4185004532,
121 Finland,Finland,Western Europe,7.4060001373,0.0313966125,10.5315132141,0.9400389194,70.846244812,0.9250696301,0.0003376037,0.3109899163,2.0989763737,2.6195511818,1.2902485132,1.3182630539,0.8891108632,0.6416934133,0.2335076481,0.4137178957,0.4925111532,1.5016219616,2.0494432449,0.5965794921,0.5717192292,,0.4792299867,,0.580378592,
015 Netherlands,Netherlands,Western Europe,7.3779997826,0.0279852431,10.6516819,0.9240706563,70.9809341431,0.9004685283,0.308452934,0.462236613,2.0989763737,2.4657034874,1.32944417,1.2801730633,0.8928382993,0.6157615185,0.4761039317,0.3181394339,0.5416449308,1.3990682364,1.8806020021,0.4898374081,,,,,0.4357234538,0.6617569923
023 Sweden,Sweden,Western Europe,7.3639998436,0.0315662697,10.6586227417,0.9278006554,71.6323471069,0.9422442317,0.1643199623,0.2718753219,2.0989763737,2.3711905479,1.3317080736,1.289070487,0.9108656645,0.6597970724,0.3626200557,0.4384358823,0.5838635564,1.436961174,2.0183410645,0.5931246877,0.5707896352,,0.5659068227,0.6371845007,0.6797278523,0.6078272462
055 New Zealand,New Zealand,North America and ANZ,7.2859997749,0.0337134078,10.4086828232,0.9406306148,71.5421905518,0.9228727221,0.3070636988,0.2864657938,2.0989763737,2.2642521858,1.2501846552,1.3196744919,0.9083706141,0.6393776536,0.4750100672,0.4292156398,0.6136780977,1.4992164373,1.9572234154,,,,0.4838709533,,0.5116022229,0.5622732639
047 Australia,Australia,North America and ANZ,7.2839999199,0.0408311933,10.6643743515,0.9362514019,72.3799819946,0.9341298342,0.25703004,0.4017469585,2.0989763737,2.2664604187,1.3335841894,1.3092285395,0.9315558672,0.6512437463,0.4356158376,0.3563651145,0.4406563044,1.2497929335,1.7807537317,,0.4781493843,,0.3944920599,,0.4613790214,0.5181400776
038 Israel,Israel,Middle East and North Africa,7.2779998779,0.0346961021,10.3424158096,0.9004923701,71.7408676147,0.7082919478,0.1250727177,0.8424753547,2.0989763737,3.0885424614,1.2285701036,1.2239304781,0.9138688445,0.4131889641,0.3317185044,0.0778523535,0.4123800397,-0.2260727435,1.0395100117,0.2731906176,,,,0.230252102,,
082 Costa Rica,Costa Rica,Latin America and Caribbean,7.2259998322,0.0445361547,9.5060834885,0.9063408375,69.8042221069,0.9175425768,0.0275910366,0.7982093692,2.0989763737,3.1772756577,0.955781579,1.2378810644,0.8602736592,0.6337592006,0.254965812,0.1058256924,0.31460163,0.8448982835,0.5269802809,0.1290973276,,,,,,
089 Austria,Austria,Western Europe,7.1999998093,0.037508823,10.6755590439,0.931142211,70.8936080933,0.9086018801,0.1240140051,0.6701334119,2.0989763737,2.533203125,1.3372322321,1.297041297,0.890421629,0.6243348122,0.3308849335,0.1867616773,0.4031969309,1.392406106,1.5657997131,0.3326446414,,,,,,
034 Mexico,Mexico,Latin America and Caribbean,7.1869997978,0.0417637825,9.7046089172,0.7707748413,68.1481781006,0.7733919621,-0.1174839586,0.6284188032,2.0989763737,3.6021432877,1.0205351114,0.9145077467,0.8144438863,0.4818106294,0.1407402158,0.2131227106,0.3606884181,-0.2897407711,-0.0436212495,0.2762003243,0.1765348017,0.3056105673,0.2942421734,0.2079574168,0.1549839228,0.1240620315
001 United States,United States,North America and ANZ,7.118999958,0.0383908898,10.8511648178,0.9102108479,69.8588409424,0.8343205452,0.213130787,0.7142292857,2.0989763737,2.5101094246,1.3945100307,1.2471125126,0.861785233,0.5460351706,0.4010515213,0.1588958502,0.3393108845,0.8750867248,1.4448657036,0.4243951738,0.4535478652,,0.3495129347,0.3551853299,0.3934514523,0.3513945043
033 Brazil,Brazil,Latin America and Caribbean,6.9829998016,0.0407600626,9.5841264725,0.9042413235,63.9052200317,0.7816255689,-0.1111357212,0.6884083152,2.0989763737,3.2600140572,0.9812370539,1.2328730822,0.6970232129,0.4904896319,0.1457385272,0.1752130836,0.3968628049,0.2480162978,-0.0535629019,0.1364740133,,0.0660198629,,,0.0938110948,0.0706378445
144 Luxembourg,Luxembourg,Western Europe,6.9460000992,0.0349888951,11.370513916,0.8986875415,71.9242095947,0.900537312,0.0598138422,0.3675476313,2.0989763737,1.9696130753,1.5639073849,1.2196252346,0.9189427495,0.6158339977,0.2803365886,0.377976954,0.6965203881,1.4826966524,1.8278241158,0.2898989916,,,,,,
132 Ireland,Ireland,Western Europe,6.9400000572,0.036761377,10.6716470718,0.9615086317,71.0710754395,0.9023753405,0.2867417336,0.5114670396,2.0989763737,1.97569561,1.3359563351,1.3694760799,0.8953328729,0.6177714467,0.4590094686,0.2870289087,0.3867465258,1.1228562593,1.5660760403,0.3529411852,,,,,,
016 Belgium,Belgium,Western Europe,6.9369997978,0.0359549187,10.5853729248,0.9263724089,71.1192703247,0.8708144426,-0.0136458371,0.608997643,2.0989763737,2.4148411751,1.3078160286,1.2856636047,0.896666646,0.5845032334,0.2224977314,0.2253956646,0.4839423001,1.1243653297,1.4400105476,0.2936427891,,,,,,
193 United Arab Emirates,United Arab Emirates,Middle East and North Africa,6.9010000229,0.03729482,10.9515886307,0.8593335748,67.9604644775,0.9249507189,0.039416384,0.3551158905,2.0989763737,2.2474317551,1.4272655249,1.1257519722,0.8092490435,0.6415680647,0.2642765343,0.3858330548,,-0.0589398108,0.8867037296,0.1782700419,,,,,,
012 United Kingdom,United Kingdom,Western Europe,6.867000103,0.0186646618,10.4583187103,0.9262940884,71.5804519653,0.8819612861,0.3630871773,0.4582357705,2.0989763737,1.9699378014,1.2663744688,1.2854768038,0.9094294906,0.5962530971,0.5191204548,0.3206677437,0.4140639007,0.8670911789,1.6245371103,0.3760162592,,,0.3044983149,,0.3005583584,
161 Oman,Oman,Middle East and North Africa,6.853000164,0.0533546358,10.7457103729,0.840915978,66.280632019,0.9165735841,-0.022635838,0.4509950876,2.0989763737,2.4748873711,1.36011374,1.0818194151,0.7627609968,0.6327377558,0.2154193819,0.3252433836,,-0.2468203902,0.3499852419,,,,,,,
032 Venezuela,Venezuela,Latin America and Caribbean,6.8099999428,0.064759694,9.7772750854,0.9139195085,64.7543563843,0.7233694792,-0.2220462412,0.7905056477,2.0989763737,3.1913087368,1.0442367792,1.2559589148,0.7205224633,0.4290821254,0.0584125407,0.1106939614,0.4637807906,-0.9577359557,-1.3998399973,0.1493374109,,,0.1333333403,0.1583333313,,
028 Singapore,Singapore,Southeast Asia,6.7979998589,0.0378041938,11.2415990829,0.8150005937,75.7654953003,0.8309823275,0.0988205522,0.1869558841,2.0989763737,1.8850126266,1.5218589306,1.0200020075,1.0252474546,0.5425164104,0.3110487163,0.4920996428,0.8500191569,0.7124015093,2.0096428394,0.2907331884,,,,0.166693449,,0.3739060462
163 Panama,Panama,Latin America and Caribbean,6.7859997749,0.0491035804,9.8364210129,0.8898327947,67.5036392212,0.8305909038,0.0140912589,0.8189808726,2.0989763737,2.8484771252,1.0635285378,1.1985034943,0.7966067791,0.5421037674,0.2443366647,0.0926994011,0.4064452648,0.1494740844,0.0216901992,0.2087132782,,,,,,
014 Germany,Germany,Western Europe,6.75,0.0184843764,10.6470174789,0.9321190119,70.9455337524,0.8995320201,0.0621040203,0.6200229526,2.0989763737,2.1156907082,1.327922821,1.2993712425,0.8918586373,0.6147743464,0.2821397781,0.2184283584,0.5704888701,1.0774201155,1.6320431232,0.326572001,,,0.3213227987,,0.3435913622,0.4474876523
104 Chile,Chile,Latin America and Caribbean,6.6700000763,0.0579999797,9.9701681137,0.8587943316,69.7425765991,0.7349800467,0.127505362,0.7620264292,2.0989763737,2.6758475304,1.1071531773,1.124465704,0.8585676551,0.4413207769,0.3336338699,0.1286910474,0.3259673119,0.6947005391,1.4303545952,0.1609829515,,0.2206666619,0.2137700021,0.2217666656,0.1247090772,0.126401633
168 Qatar,Qatar,Middle East and North Africa,6.611000061,0.0625719652,11.7583694458,0.8395673037,67.5298538208,0.9238383174,0.1174685583,0.139517799,2.0989763737,1.5567445755,1.690415144,1.078602314,0.7973322272,0.6403955221,0.3257313371,0.5220775604,,0.210745424,0.9906333685,0.2702418566,,,,,,0.2142799795
013 France,France,Western Europe,6.5749998093,0.0351195633,10.4932966232,0.9157708883,72.8941802979,0.8381864429,-0.1396135837,0.6389638186,2.0989763737,2.2112574577,1.2777832747,1.2603751421,0.9457859397,0.5501102209,0.1233163327,0.2064589113,0.3581933379,0.8864215612,1.3232890368,0.2201834917,,,,,0.187642321,
087 Argentina,Argentina,Latin America and Caribbean,6.5739998817,0.0461230837,9.8056907654,0.9106807113,67.1648178101,0.7429638505,-0.1508003324,0.8314232826,2.0989763737,2.8359971046,1.0535051823,1.2482333183,0.787230134,0.4497364759,0.1145083904,0.0848365724,0.419626981,0.1587570012,-0.6047220826,0.2002022266,0.2700732946,0.2235528976,0.1708436161,0.1501535326,0.1740575284,0.1935307235
021 Czech Republic,Czech Republic,Central and Eastern Europe,6.5050001144,0.0416834764,10.1903848648,0.893157661,69.2462310791,0.7561570406,-0.1605180353,0.9237059355,2.0989763737,2.6778185368,1.1789819002,1.2064344883,0.8448317051,0.4636433721,0.1068571061,0.0265197121,0.2507911325,0.9844459891,0.8036892414,0.2730443478,,0.3022751808,0.2851919532,,,
194 Uruguay,Uruguay,Latin America and Caribbean,6.4850001335,0.0453864075,9.8307037354,0.8941913843,68.0455474854,0.8889533877,-0.0010694591,0.5770559311,2.0989763737,2.3214182854,1.0616637468,1.2089003325,0.8116036654,0.6036234498,0.2323997915,0.2455808222,0.5678469539,0.8662542105,0.6758514047,0.2743870616,,,0.2164048105,,0.2843930721,0.1443514675
105 Colombia,Colombia,Latin America and Caribbean,6.4770002365,0.0505132675,9.3921289444,0.9073063731,63.6792221069,0.8235294223,-0.0625298694,0.8846532106,2.0989763737,2.8573720455,0.9186127782,1.2401843071,0.6907688975,0.5346603394,0.1840086132,0.0511985905,0.3161045611,-0.7572907209,-0.1070712954,0.1401209682,,,0.1072199196,,0.1431404948,0.0412782952
051 Thailand,Thailand,Southeast Asia,6.4549999237,0.0355668031,9.5401802063,0.9177285433,65.4038772583,0.844383955,0.4357149005,0.9152401686,2.0989763737,2.3194494247,0.9669030309,1.2650448084,0.738497436,0.5566430092,0.5763043165,0.0318695456,0.6582366824,-0.7737816572,-0.019740209,0.2394014895,,,,,0.4150819778,0.3249125183
005 Saudi Arabia,Saudi Arabia,Middle East and North Africa,6.4109997749,0.0463277698,10.8539247513,0.8417987227,64.7445526123,0.6108540297,-0.122162804,0.4509950876,2.0989763737,2.4387154579,1.3954102993,1.083925128,0.720251143,0.310480088,0.137056306,0.3252433836,,-1.1288250685,0.0770537481,0.3353535235,,,,0.5053262115,,
