Country,Happiness score,Whisker-high,Whisker-low,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia (2.33) + residual,,,Figure 2.2: Ranking of Happiness 2013-2015
Denmark,7.526,7.592,7.46,1.4417843819,1.1637449265,0.7950401306,0.5794125795,0.3617095649,0.4445321858,2.7393903732,,,
Switzerland,7.509,7.59,7.428,1.5273342133,1.1452364922,0.8630290627,0.5855717659,0.2808253467,0.4120327234,2.6946320534,,,
Iceland,7.501,7.669,7.333,1.4266554117,1.1832593679,0.8673328161,0.5662423372,0.4767839015,0.1497474164,2.8313732147,,,
Norway,7.498,7.575,7.421,1.5774401426,1.1268956661,0.795789361,0.596085906,0.3789480925,0.3577578962,2.664645195,,,
Finland,7.413,7.475,7.351,1.4059786797,1.134640336,0.8109139204,0.5710368156,0.2549190819,0.4100397825,2.8259649277,,,
Canada,7.404,7.473,7.335,1.4401477575,1.0960981846,0.8276035786,0.5737001896,0.4483413696,0.3132919967,2.7048544884,,,
Netherlands,7.339,7.394,7.284,1.4646838903,1.0291227102,0.8123089671,0.5521135926,0.4741576314,0.2992680669,2.707485199,,,
New Zealand,7.334,7.404,7.264,1.3606619835,1.1727817059,0.8309572339,0.5814732909,0.4940109551,0.4190437794,2.4755315781,,,
Australia,7.313,7.385,7.241,1.4444261789,1.1047552824,0.8512034416,0.5683658719,0.4740689993,0.3233065605,2.5465044975,,,
Sweden,7.291,7.355,7.227,1.45181036,1.0876401663,0.8312124014,0.5821848512,0.3825379014,0.4086659253,2.5473403931,,,
Israel,7.267,7.335,7.199,1.3376606703,0.9953728318,0.8491719365,0.3643200099,0.3228764832,0.0872783288,3.3102855682,,,
Austria,7.119,7.193,7.045,1.4503824711,1.0838325024,0.8056452274,0.5435519218,0.3286470771,0.213483572,2.6934280396,,,
United States of America,7.104,7.188,7.02,1.5079622269,1.0478150845,0.7789978981,0.4816303849,0.4107684493,0.1486830562,2.7278151512,,,
Costa Rica,7.087,7.175,6.999,1.0687948465,1.0215240717,0.7614648342,0.5522507429,0.2255250663,0.1054651439,3.3516767025,,,
Puerto Rico,7.039,7.284,6.794,1.3594307899,1.0811303854,0.77758044,0.468232125,0.2220221758,0.1227526292,3.0076031685,,,
Germany,6.994,7.058,6.93,1.4478666782,1.0977385044,0.8148694634,0.5346622467,0.3045226634,0.2855077386,2.509305954,,,
Brazil,6.952,7.029,6.875,1.0875415802,1.0393776894,0.6141526103,0.4042548239,0.1577630639,0.1416589469,3.5073287487,,,
Belgium,6.929,6.997,6.861,1.4253904819,1.0524871349,0.819593668,0.5135375857,0.2423993349,0.2624757886,2.613553524,,,
Ireland,6.907,6.978,6.836,1.4834135771,1.1615680456,0.8145487309,0.5400843024,0.4496281445,0.29753685,2.1598815918,,,
Luxembourg,6.871,6.938,6.804,1.6975241899,1.0399930477,0.8454193473,0.5487023592,0.2757112384,0.3532930613,2.1105499268,,,
Mexico,6.778,6.876,6.68,1.1150808334,0.7146037817,0.7114341855,0.3770864308,0.1173546165,0.1835472286,3.5590591431,,,
Singapore,6.739,6.804,6.674,1.6455464363,0.8675758243,0.9471881986,0.4876993597,0.3270626366,0.4698693752,1.9937458038,,,
