"",,,Social,Positive,Negative,GDP per,Healthy life
Country,Region,Ladder,support Freedom Corruption Donation Generosity,affect,affect,capita,expectancy
Afghanistan,4,4.051,0.566 0.738 0.744 0.527 0.395,0.644,0.217,688.215,35.270
Albania,1,4.634,0.821 0.529 0.875 0.272 -0.019,0.553,0.246,6376.64,61.000
Angola,9,4.151,0.772 0.632 0.895 0.334 0.089,0.629,0.322,3354.65,33.210
Argentina,6,6.193,0.900 0.693 0.869 0.192 -0.140,0.826,0.304,11240.4,64.920
Armenia,2,4.586,0.708 0.549 0.847 0.039 -0.226,0.501,0.440,4363.83,60.919
Australia,7,7.310,0.967 0.916 0.433 0.739 0.331,0.834,0.226,32478.9,72.298
Austria,0,7.122,0.936 0.941 0.478 0.705 0.295,0.823,0.174,33626.4,71.365
Azerbaijan,2,4.649,0.820 0.693 0.814 0.062 -0.207,0.516,0.280,5238.69,57.340
Bangladesh,4,4.473,0.587 0.608 0.798 0.239 0.067,0.618,0.317,1195.5,53.858
Belarus,2,5.637,0.898 0.693 0.697 0.069 -0.243,0.601,0.252,9101.46,60.653
Belgium,0,7.240,0.928 0.912 0.666 0.468 0.060,0.805,0.239,32320.1,70.643
Belize,6,6.451,0.872 0.705 0.770 0.296 0.005,0.759,0.251,6337.18,60.000
Benin,9,3.330,0.445 0.580 0.769 0.179 -0.003,0.587,0.309,1371.34,43.738
Bolivia,6,5.500,0.815 0.775 0.801 0.227 -0.027,0.755,0.410,3828.53,54.367
Bosnia and,,,,,,,
Herzegovina,1,4.900,0.766 0.342 0.929 0.296 0.001,0.613,0.296,6732.96,64.000
Botswana,9,4.739,0.883 0.824 0.731 0.111 -0.222,0.688,0.226,11542.2,34.965
Brazil,6,6.478,0.885,0.829,0.735,0.291,-0.023,0.839,0.300,8548.56,59.261
Bulgaria,1,3.844,0.832,0.566,0.979,0.184,-0.143,0.594,0.226,10502.5,65.000
Burkina Faso,9,3.910,0.784,0.585,0.824,0.139,-0.023,0.684,0.273,1032.16,35.328
Cambodia,3,3.862,0.734,0.819,0.860,0.370,0.178,0.719,0.331,1579.44,47.291
Cameroon,9,4.100,0.703,0.649,0.914,0.180,-0.028,0.620,0.260,1995.19,41.394
Canada,7,7.445,0.962,0.946,0.462,0.645,0.232,0.853,0.243,35037,71.772
Chad,9,3.788,0.600,0.300,0.921,0.162,-0.019,0.597,0.254,1354.96,40.920
Chile,6,5.879,0.825,0.703,0.671,0.539,0.197,0.786,0.345,13027.6,67.449
China,5,4.720,0.781,,,0.082,-0.186,0.814,0.164,4362.94,63.902
Colombia,6,6.082,0.902,0.795,0.836,0.265,-0.038,0.804,0.306,7490.67,61.900
Costa Rica,6,7.258,0.927,0.903,0.811,0.392,0.074,0.872,0.238,9357.18,66.946
Croatia,1,5.821,0.910,0.662,0.935,0.262,-0.095,0.586,0.337,16095.8,66.500
Cuba,6,5.418,0.970,0.281,,,,0.647,0.277,8948.26,65.597
Cyprus,0,6.238,0.878,0.836,0.698,0.401,0.014,0.829,0.253,24408,67.372
Czech Republic,1,6.471,0.909,0.832,0.916,0.310,-0.072,0.730,0.268,21320.8,68.143
Denmark,0,7.926,0.963,0.952,0.204,0.646,0.235,0.844,0.174,33348.9,69.843
Dominican,,,,,,,,,,,
Republic,6,5.085,0.883,0.872,0.759,0.310,0.016,0.757,0.267,6670.45,59.411
